Gene source	Gene target
MAP3K1	TRAF2
IKBKB	MAP3K14
MYC	XPO5
HSP90AA1	PDPK1
AKT1	NR4A1
CHUK	HSPA1B
GRB2	HSPA1B
NCBP2	LSM2
MAPK1	SHC1
NFKB2	RPS19
PAK2	SLC36A2
NFKBIB	RPL35A
RPS6	RPLP0
ILK	EWSR1
SLC25A6	GNB2L1
IKBKE	RPS16
NFKB2	RPS27
MAP3K1	CDC37
TBK1	HSPA1B
"LOC441377;LOC442515;LOC728937;LOC728595;LOC729188"	RPS6
GRB2	RPL31
MCC	MAPKAPK2
GRB2	RPL26
ACTB	RPLP1
GSK3B	FUS
AKT1	HSP90AA1
VCL	CYCS
IKBKE	RPL36
HNRPK	NCBP2
CFTR	PIK3CG
UBA52	LYN
PRKD1	JUN
IKBKB	HSPA5
RPS5	RPS6
GRB2	EIF4A1
MAP3K1	TIMM50
BCL2L11	AKT1
PAFAH1B3	TRIM24
RAF1	MAP2K2
RNPS1	PABPC1
RPL36	RIPK2
PDPK1	RPS6KB1
IKBKE	RPL31
TNIK	IMPDH2
PXN	RPS6
HSP90AB1	HSPA1B
RPS26	RPS6
RPS6	EIF2S3
RPS27A	RPS6
AKT1	MYOG
RPS6	SLC36A2
NFKB2	HSP90AA1
RPS3A 	RPS6
CSK	PXN
PXN	YWHAZ
RPS6	RPL10
BCL6	JUN
PABPC1	HNRPD
NFKB2	RPS4X
CDK2	RPS16
MAPK1	PAK1
CHUK	CALM3
IKBKE	EIF4G1
CDH1	HSPA1B
RPS6	RPL32
BCL2	CDK2
MAP2K4	AKT1
NFKB2	RPS11
MAP3K3	UBA52
TBK1	HSP90AA1
RPL18A	MDK
VCL	LOC388524
AKT1	CYCS
GSK3B	IKBKAP
ATXN1	HSPA1B
MAPK1	SP1
PXN	SRC
TNFRSF1B	PIK3CG
MAP3K3	YWHAZ
JUN	STAT3
PXN	CLTC
MAP3K1	IKBKG
NFKB2	MAP3K14
ACTB	EIF3S2
MAP3K7IP2	RPS27
NFKB2	RPS15A
RPS13	RPS6
MAPK1	STAT5A
EPOR	SHC1
IKBKE	EIF3S7
GRB2	RPS28
EIF4E	MAPKAPK2
CD4	RPS27A
PRKCI	YWHAZ
MAP3K14	HSP90AB1
MAP3K3	PAK1
IKBKG	RPS5
MAP3K7	HSPA1B
RPS6	RPS8
PXN	XRCC6
RELA	RPL18
GNB2L1	PABPC1
ACTB	EIF3S7
ILK	U2AF2
ACTB	LOC388524
EIF1B	RPL36
TNIK	CALM1
NCBP2	POLR2B
YWHAZ	XRCC6
RB1	MYC
RPS6	EIF3S8
IGF1	AKT1
HNRPK	PABPC1
GRB2	RPS13
IRAK1	TRAF6
CHUK	ACTG1
YWHAG	SRRM1
PABPC1	RPS6
ETF1	RPS6
MAPK1	IFNAR1
PTK2	PIK3R1
RIPK3	HSP90AA1
PNN	PDPK1
IKBKG	RPL23
AKT1	HSP90AB1
RPS6	RPL31
IGFBP5	THBS1
GNB2L1	ITGB1
PXN	ABL1
EIF2S2	KIAA1377
MAP2K1	MAPK1
NFKB2	RPS5
GRB2	"LOC441377;LOC442515;LOC728937;LOC728595;LOC729188"
RELA	RPS16
MAP3K14	TRAF2
NFKB2	RPL30
IKBKE	RPL22
BAD	BCL2
MAPK1	TNFSF11
MYC	IRAK1
GSTK1	MAPKAPK2
C1QBP	PRKCZ
NFKB2	RPS8
RPS6	EIF4E
RIPK3	RPS27
RPS6	RPL12
ACVR1	IGSF1
TNFRSF1A	RPS27
MAP3K7IP1	HSPA1B
NCBP2	SFRS4
ITGB1	FHL2
YWHAG	MAGOH
NFKB2	RPS16
RPS6	EIF3S9
TRIM24	RPS6
MYC	YWHAE
MAP3K1	GEMIN4
PAK1	PIN1
RAF1	MAP2K1
IKBKG	RPS14
RPS27A	GSK3B
RELA	JUN
NFKB2	RPS13
MIRN133A1	PTBP1
ITGB1	PTK2
IKBKG	RPS3
NFKB2	RPL18
RPS6	EIF4G1
NFKB2	
TNFRSF1B	IRS1
RPS6	RPL35A
SP1	SHC1
PSMD11	ZBTB16
TNIK	MAPK1
NFKB2	RPS3
HSP90AB1	ACTG1
RARA	TRIM24
MAP3K11	AKT1
PDPK1	PRKCA
MAP3K14	CDC37
IGF1R	ZBTB16
TGFBR1	PIK3R1
HSP90AB1	GAPDH
TRAF6	IRAK1
TRAF1	HSP90AA1
MAP3K1	RAF1
CFTR	UBA52
HLA-B	CRK
PXN	PTPN11
PXN	LIMS1
JUN	PIN1
TGFBR1	RPS27A
CDKN1A	GNB2L1
FTS	AKT1
EIF1B	CDC37
HNRPD	YWHAZ
PPP2CA	SRC
IKBKE	RPL18A
RAF1	PAK2
RIPK3	RPL23
CREBBP	IKBKB
TNFRSF1A	HSP90AA1
MYC	IRS1
RPS27A	CTNNB1
IKBKE	NCBP2
HSPA8	HSP90AA1
ACTB	RPS24
PIK3CG	AKT1
AKT1	PRKCZ
ZBTB16	SP1
GSK3B	UBA52
NFKBIB	HSP90AA1
IKBKE	HSPA1B
EIF2S2	ZBTB16
MAPK1	HDAC4
ILK	DDB1
TRADD	HSPA1B
NDRG1	CDH1
CDC25A	RPS27A
NCBP2	SNRP70
VAV1	CBL
YWHAG	U2AF2
GRB2	RPS9
MAP3K3	RPS27
GH1	MAPK1
RPS6	EIF3S12
TRAF6	PRKCZ
GRB2	RPS3
HSP90AB1	RPS4X
NCBP2	PTBP1
PXN	CRK
YWHAZ	SF3B1
CBL	YWHAZ
IGF1R	IGF1
NCBP2	RNPS1
YWHAZ	DISC1
